"LEVEL_ID","UNIT_ID","CODE","P_IDENT","Catalog_ID","S_NYSM_NUM","U_TYPE","U_LBL","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","IDENTIFY","BEGDATE","ENDDATE","N","zN","comp.grp","art.grp"
1909,459,"UDB","PIN 1BOW.27.101",6107,12644,"EU","14","3",37,75.4,"Other","Bone/Antler","Refuse/Unmodified","Bone","unidentified bone frag",NA,NA,3,0.819028359347922,"2","2"
1909,459,"OMO","PIN 1BOW.27.101",6104,12644,"EU","14","3",37,75.4,"Architectural","Ceramics","Brick","Mortar/Plaster","mortar",NA,NA,9,0.683119238879218,"2","2"
1909,459,"MCN","PIN 1BOW.27.101",6117,12644,"EU","14","3",37,75.4,"Architectural","Metal","Architectural Hardware","Cut Nail","machine cut nail",1835,1880,10,0.762770071396474,"2","2"
1909,459,"AFG","PIN 1BOW.27.101",6109,12644,"EU","14","3",37,75.4,"Architectural","Glass","Flat Glass","Flat Glass","aqua flat glass",NA,NA,2,0.45358750731723,"2","2"
1909,459,"OBR","PIN 1BOW.27.101",6103,12644,"EU","14","3",37,75.4,"Architectural","Ceramics","Brick","Brick","unidentified brick",NA,NA,36,4.39250698884576,"2","2"
1909,459,"USN","PIN 1BOW.27.101",6116,12644,"EU","14","3",37,75.4,"Architectural","Metal","Architectural Hardware","Other Nail","unidentified square nail",NA,NA,5,2.10998928777389,"2","1"
1909,459,"XI","PIN 1BOW.27.101",6113,12644,"EU","14","3",37,75.4,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,5,1.28615017480845,"2","2"
1909,459,"HPW","PIN 1BOW.27.101",6112,12644,"EU","14","3",37,75.4,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","underglaze polychrome hand-painted ironstone/whiteware",1830,1860,1,0.594088525786005,"2","2"
1908,459,"LGFG","PIN 1BOW.27.101",6094,12644,"EU","14","2",8.6,37,"Architectural","Glass","Flat Glass","Flat Glass","light green flat glass (not 18th century)",NA,NA,12,0.404061017820884,"2","1"
1908,459,"CS","PIN 1BOW.27.101",6091,12644,"EU","14","2",8.6,37,"Other","Shell","Refuse/Unmodified","Clam Shell","clam shell",NA,NA,9,2.66556994991592,"2","2"
1908,459,"DBK","PIN 1BOW.27.101",6084,12644,"EU","14","2",8.6,37,"Domestic","Ceramics","Pipe","Kaolin Pipe","decorated Kaolin pipe bowl frag",NA,NA,1,0.925820099772551,"2","2"
1908,459,"USN","PIN 1BOW.27.101",6099,12644,"EU","14","2",8.6,37,"Architectural","Metal","Architectural Hardware","Other Nail","unidentified square nail",NA,NA,4,1.68799143021911,"2","1"
1908,459,"HPW","PIN 1BOW.27.101",6087,12644,"EU","14","2",8.6,37,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","underglaze polychrome hand-painted ironstone/whiteware",1830,1860,1,0.594088525786005,"2","2"
1908,459,"UIS","PIN 1BOW.27.101",6098,12644,"EU","14","2",8.6,37,"Other","Metal","Unidentified","Ferrous","unidentified iron/steel",NA,NA,12,3.02245353572657,"2","1"
1908,459,"XI","PIN 1BOW.27.101",6088,12644,"EU","14","2",8.6,37,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,1,0.25723003496169,"2","2"
1908,459,"ANW","PIN 1BOW.27.101",6085,12644,"EU","14","2",8.6,37,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","annular ironstone/whiteware",NA,NA,1,0.616441400296898,"2","2"
1908,459,"MCN","PIN 1BOW.27.101",6101,12644,"EU","14","2",8.6,37,"Architectural","Metal","Architectural Hardware","Cut Nail","machine cut nail",1835,1880,5,0.381385035698237,"2","2"
1908,459,"OBR","PIN 1BOW.27.101",6093,12644,"EU","14","2",8.6,37,"Architectural","Ceramics","Brick","Brick","unidentified brick",NA,NA,9,1.09812674721144,"2","2"
1908,459,"AFG","PIN 1BOW.27.101",6102,12644,"EU","14","2",8.6,37,"Architectural","Glass","Flat Glass","Flat Glass","aqua flat glass",NA,NA,2,0.45358750731723,"2","2"
1908,459,"ABG","PIN 1BOW.27.101",6095,12644,"EU","14","2",8.6,37,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.925820099772551,"2","1"
1908,459,"UDB","PIN 1BOW.27.101",6089,12644,"EU","14","2",8.6,37,"Other","Bone/Antler","Refuse/Unmodified","Bone","unidentified bone frag",NA,NA,2,0.546018906231948,"2","2"
1908,459,"OG","PIN 1BOW.27.101",6096,12644,"EU","14","2",8.6,37,"Domestic","Glass","Other Glass","Other Glass","other glass",NA,NA,1,0.707106781186547,"2","2"
1908,459,"OGS","PIN 1BOW.27.101",6083,12644,"EU","14","2",8.6,37,"Domestic","Ceramics","Sherd","Stoneware","grey salt-glazed stoneware, brown slip",NA,NA,1,0.894427190999916,"2","2"
1908,459,"FOAM","PIN 1BOW.27.101",6090,12644,"EU","14","2",8.6,37,"Other","Other","Plastic","Plastic","other foam",NA,NA,1,0.163299316185545,"2","1"
1908,459,"SPCN","PIN 1BOW.27.101",6097,12644,"EU","14","2",8.6,37,"Architectural","Metal","Architectural Hardware","Cut Nail","cut spike",1790,1880,1,0.577350269189626,"2","2"
1908,459,"UCN","PIN 1BOW.27.101",6100,12644,"EU","14","2",8.6,37,"Architectural","Metal","Architectural Hardware","Cut Nail","unidentified cut nail",1790,1880,4,1.0222025039999,"2","2"
1908,459,"OTHW","PIN 1BOW.27.101",6086,12644,"EU","14","2",8.6,37,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","other ironstone/whiteware",NA,NA,1,0.654653670707977,"2","2"
1908,459,"OCI","PIN 1BOW.27.101",6092,12644,"EU","14","2",8.6,37,"Domestic","Other","Debris","Coal","cinder",NA,NA,1,0.168454280132302,"2","1"
1685,415,"OCI","PIN 1BOW.27.101",5715,12644,"STP","C02","2",59,99,"Domestic","Other","Debris","Coal","cinder",NA,NA,4,0.673817120529209,"2","1"
1685,415,"UCN","PIN 1BOW.27.101",5717,12644,"STP","C02","2",59,99,"Architectural","Metal","Architectural Hardware","Cut Nail","unidentified cut nail",1790,1880,1,0.255550625999976,"2","2"
1685,415,"OCH","PIN 1BOW.27.101",5716,12644,"STP","C02","2",59,99,"Other","Botanical","Sample","Charcoal","charcoal",NA,NA,1,0.113561843574148,"2","2"
1686,415,"OCI","PIN 1BOW.27.101",5702,12644,"STP","C02","1",0,59,"Domestic","Other","Debris","Coal","cinder",NA,NA,9,1.51608852119072,"1","1"
1686,415,"OCO","PIN 1BOW.27.101",5703,12644,"STP","C02","1",0,59,"Domestic","Other","Debris","Coal","coal",NA,NA,10,2.96242831546173,"1","1"
1686,415,"OSL","PIN 1BOW.27.101",5701,12644,"STP","C02","1",0,59,"Domestic","Other","Debris","Coal","slag",NA,NA,2,0.395854810413913,"1","1"
1686,415,"BNUT","PIN 1BOW.27.101",5704,12644,"STP","C02","1",0,59,"Other","Botanical","Sample","Nut","nut (botanical)",NA,NA,3,1.34164078649987,"1","1"
1686,415,"XI","PIN 1BOW.27.101",5705,12644,"STP","C02","1",0,59,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,1,0.25723003496169,"1","2"
1686,415,"ABG","PIN 1BOW.27.101",5706,12644,"STP","C02","1",0,59,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.925820099772551,"1","1"
1879,451,"ASP","PIN 1BOW.27.101",5694,12644,"EU","09D","1A",9,13,"Architectural","Other","Debris","Asphalt","asphalt pavement frag",NA,NA,1,0.384110639798688,"1","1"
1879,451,"STY","PIN 1BOW.27.101",5693,12644,"EU","09D","1A",9,13,"Domestic","Other","Plastic","Plastic","Styrofoam",1954,1970,3,0.968245836551854,"1","1"
1879,451,"OCO","PIN 1BOW.27.101",5695,12644,"EU","09D","1A",9,13,"Domestic","Other","Debris","Coal","coal",NA,NA,1,0.296242831546173,"1","1"
1881,451,"PWRA","PIN 1BOW.27.101",5687,12644,"EU","09D","2",19,40.6,"Domestic","Other","Plastic","Plastic","plastic wrapper(s)",NA,NA,1,0.293150984988964,"2","1"
1881,451,"UTI","PIN 1BOW.27.101",5688,12644,"EU","09D","2",19,40.6,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","blue transfer-printed ironstone/whiteware",1830,1865,2,0.974679434480897,"2","2"
1881,451,"OWOO","PIN 1BOW.27.101",5681,12644,"EU","09D","2",19,40.6,"Domestic","Botanical","Worked","Other worked wood","other worked wood",NA,NA,1,0.397359707119513,"2","1"
1881,451,"UCN","PIN 1BOW.27.101",5691,12644,"EU","09D","2",19,40.6,"Architectural","Metal","Architectural Hardware","Cut Nail","unidentified cut nail",1790,1880,1,0.255550625999976,"2","2"
1881,451,"STY","PIN 1BOW.27.101",5686,12644,"EU","09D","2",19,40.6,"Domestic","Other","Plastic","Plastic","Styrofoam",1954,1970,3,0.968245836551854,"2","1"
1881,451,"USN","PIN 1BOW.27.101",5692,12644,"EU","09D","2",19,40.6,"Architectural","Metal","Architectural Hardware","Other Nail","unidentified square nail",NA,NA,2,0.843995715109554,"2","1"
1881,451,"OCI","PIN 1BOW.27.101",5685,12644,"EU","09D","2",19,40.6,"Domestic","Other","Debris","Coal","cinder",NA,NA,3,0.505362840396907,"2","1"
1881,451,"OBR","PIN 1BOW.27.101",5684,12644,"EU","09D","2",19,40.6,"Architectural","Ceramics","Brick","Brick","unidentified brick",NA,NA,2,0.244028166046987,"2","2"
1881,451,"XI","PIN 1BOW.27.101",5690,12644,"EU","09D","2",19,40.6,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,5,1.28615017480845,"2","2"
1881,451,"CS","PIN 1BOW.27.101",5683,12644,"EU","09D","2",19,40.6,"Other","Shell","Refuse/Unmodified","Clam Shell","clam shell",NA,NA,1,0.296174438879546,"2","2"
1881,451,"HPW","PIN 1BOW.27.101",5689,12644,"EU","09D","2",19,40.6,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","underglaze polychrome hand-painted ironstone/whiteware",1830,1860,1,0.594088525786005,"2","2"
1881,451,"AFG","PIN 1BOW.27.101",5682,12644,"EU","09D","2",19,40.6,"Architectural","Glass","Flat Glass","Flat Glass","aqua flat glass",NA,NA,1,0.226793753658615,"2","2"
1882,451,"ANW","PIN 1BOW.27.101",5697,12644,"EU","09D","3",40.6,65,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","annular ironstone/whiteware",NA,NA,1,0.616441400296898,"2","2"
1882,451,"XI","PIN 1BOW.27.101",5696,12644,"EU","09D","3",40.6,65,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,1,0.25723003496169,"2","2"
1882,451,"OCI","PIN 1BOW.27.101",5700,12644,"EU","09D","3",40.6,65,"Domestic","Other","Debris","Coal","cinder",NA,NA,1,0.168454280132302,"2","1"
1882,451,"MCN","PIN 1BOW.27.101",5699,12644,"EU","09D","3",40.6,65,"Architectural","Metal","Architectural Hardware","Cut Nail","machine cut nail",1835,1880,1,0.0762770071396474,"2","2"
1882,451,"OCH","PIN 1BOW.27.101",5698,12644,"EU","09D","3",40.6,65,"Other","Botanical","Sample","Charcoal","charcoal",NA,NA,2,0.227123687148295,"2","2"
1880,451,"CWN","PIN 1BOW.27.101",5659,12644,"EU","09D","1",13,19,"Architectural","Metal","Architectural Hardware","Wire Nail","common wire nail",1875,1970,1,0.362033094019108,"3","3"
1880,451,"CBG","PIN 1BOW.27.101",5662,12644,"EU","09D","1",13,19,"Domestic","Glass","Glass Vessel","Bottle Glass","clear bottle glass",NA,NA,1,0.432425565755194,"3","1"
1880,451,"BRSW","PIN 1BOW.27.101",5660,12644,"EU","09D","1",13,19,"Domestic","Ceramics","Sherd","Stoneware","Bristol-style glazed stoneware, buff bodied, clear glossy glaze, caramel colored near mouth of bottle, ""ginger beer style""",1835,1900,1,0.816496580927726,"3","1"
1880,451,"OCO","PIN 1BOW.27.101",5663,12644,"EU","09D","1",13,19,"Domestic","Other","Debris","Coal","coal",NA,NA,1,0.296242831546173,"3","1"
1880,451,"STY","PIN 1BOW.27.101",5665,12644,"EU","09D","1",13,19,"Domestic","Other","Plastic","Plastic","Styrofoam",1954,1970,1,0.322748612183951,"3","1"
1880,451,"OGS","PIN 1BOW.27.101",5661,12644,"EU","09D","1",13,19,"Domestic","Ceramics","Sherd","Stoneware","grey salt-glazed stoneware, brown slip",NA,NA,1,0.894427190999916,"3","2"
1880,451,"PWRA","PIN 1BOW.27.101",5664,12644,"EU","09D","1",13,19,"Domestic","Other","Plastic","Plastic","plastic wrapper(s)",NA,NA,1,0.293150984988964,"3","1"
1849,439,"AFG","PIN 1BOW.27.101",4463,12644,"EU","02","1",6,18.2,"Architectural","Glass","Flat Glass","Flat Glass","aqua flat glass",NA,NA,2,0.45358750731723,"3","2"
1849,439,"NSK","PIN 1BOW.27.101",4462,12644,"EU","02","1",6,18.2,"Domestic","Ceramics","Pipe","Kaolin Pipe","Kaolin pipe stem frag, 5/64 in. bore",NA,NA,1,0.723746864455746,"3","2"
1849,439,"CTG","PIN 1BOW.27.101",4464,12644,"EU","02","1",6,18.2,"Domestic","Glass","Glass Vessel","Tableware","clear table glass",NA,NA,1,0.707106781186547,"3","4"
1849,439,"MCN","PIN 1BOW.27.101",4466,12644,"EU","02","1",6,18.2,"Architectural","Metal","Architectural Hardware","Cut Nail","machine cut nail",1835,1880,5,0.381385035698237,"3","2"
1849,439,"WOOD","PIN 1BOW.27.101",4455,12644,"EU","02","1",6,18.2,"Other","Botanical","Sample","Wood","wood frag",NA,NA,1,0.816496580927726,"3","3"
1849,439,"OCO","PIN 1BOW.27.101",4460,12644,"EU","02","1",6,18.2,"Domestic","Other","Debris","Coal","coal",NA,NA,1,0.296242831546173,"3","1"
1849,439,"OMO","PIN 1BOW.27.101",4459,12644,"EU","02","1",6,18.2,"Architectural","Ceramics","Brick","Mortar/Plaster","mortar",NA,NA,1,0.0759021376532465,"3","2"
1849,439,"OBR","PIN 1BOW.27.101",4456,12644,"EU","02","1",6,18.2,"Architectural","Ceramics","Brick","Brick","unidentified brick",NA,NA,2,0.244028166046987,"3","2"
1849,439,"CFG","PIN 1BOW.27.101",4465,12644,"EU","02","1",6,18.2,"Architectural","Glass","Flat Glass","Flat Glass","clear flat glass",NA,NA,1,0.184355439584991,"3","1"
1849,439,"OWOO","PIN 1BOW.27.101",4461,12644,"EU","02","1",6,18.2,"Domestic","Botanical","Worked","Other worked wood","other worked wood",NA,NA,1,0.397359707119513,"3","1"
1849,439,"XII","PIN 1BOW.27.101",4457,12644,"EU","02","1",6,18.2,"Domestic","Ceramics","Sherd","Ironstone","undecorated ironstone",1813,1885,4,0.167934853912572,"3","2"
1849,439,"STY","PIN 1BOW.27.101",4458,12644,"EU","02","1",6,18.2,"Domestic","Other","Plastic","Plastic","Styrofoam",1954,1970,1,0.322748612183951,"3","1"
1864,445,"OMO","PIN 1BOW.27.101",5533,12644,"EU","08","1",11.6,39.4,"Architectural","Ceramics","Brick","Mortar/Plaster","mortar",NA,NA,3,0.227706412959739,"3","2"
1864,445,"MBG","PIN 1BOW.27.101",5548,12644,"EU","08","1",11.6,39.4,"Domestic","Glass","Glass Vessel","Bottle Glass","brown bottle glass",NA,NA,1,0.193556133835239,"3","1"
1864,445,"MCN","PIN 1BOW.27.101",5546,12644,"EU","08","1",11.6,39.4,"Architectural","Metal","Architectural Hardware","Cut Nail","machine cut nail",1835,1880,2,0.152554014279295,"3","2"
1864,445,"OCO","PIN 1BOW.27.101",5534,12644,"EU","08","1",11.6,39.4,"Domestic","Other","Debris","Coal","coal",NA,NA,3,0.888728494638519,"3","1"
1864,445,"STRW","PIN 1BOW.27.101",5537,12644,"EU","08","1",11.6,39.4,"Domestic","Other","Plastic","Plastic","plastic straw",NA,NA,1,1,"3","3"
1864,445,"CWN","PIN 1BOW.27.101",5544,12644,"EU","08","1",11.6,39.4,"Architectural","Metal","Architectural Hardware","Wire Nail","common wire nail",1875,1970,1,0.362033094019108,"3","3"
1864,445,"OWOO","PIN 1BOW.27.101",5541,12644,"EU","08","1",11.6,39.4,"Domestic","Botanical","Worked","Other worked wood","other worked wood",NA,NA,4,1.58943882847805,"3","1"
1864,445,"CBG","PIN 1BOW.27.101",5550,12644,"EU","08","1",11.6,39.4,"Domestic","Glass","Glass Vessel","Bottle Glass","clear bottle glass",NA,NA,3,1.29727669726558,"3","1"
1864,445,"UIS","PIN 1BOW.27.101",5543,12644,"EU","08","1",11.6,39.4,"Other","Metal","Unidentified","Ferrous","unidentified iron/steel",NA,NA,1,0.251871127977214,"3","1"
1864,445,"POP","PIN 1BOW.27.101",5535,12644,"EU","08","1",11.6,39.4,"Domestic","Metal","Domestic/Activity","Cans","aluminum pop top",NA,NA,1,1,"3","3"
1864,445,"PCAP","PIN 1BOW.27.101",5538,12644,"EU","08","1",11.6,39.4,"Domestic","Other","Plastic","Plastic","plastic bottle/jar cap",NA,NA,1,0.316227766016838,"3","3"
1864,445,"CS","PIN 1BOW.27.101",5531,12644,"EU","08","1",11.6,39.4,"Other","Shell","Refuse/Unmodified","Clam Shell","clam shell",NA,NA,1,0.296174438879546,"3","2"
1864,445,"GB","PIN 1BOW.27.101",5542,12644,"EU","08","1",11.6,39.4,"Domestic","Glass","Glass Object","Button","glass button",NA,NA,1,0.679366220486757,"3","3"
1864,445,"XI","PIN 1BOW.27.101",5530,12644,"EU","08","1",11.6,39.4,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,2,0.514460069923379,"3","2"
1864,445,"KB","PIN 1BOW.27.101",5536,12644,"EU","08","1",11.6,39.4,"Domestic","Bone/Antler","Refuse/Unmodified","Bone","kitchen bone",NA,NA,1,0.211340986102904,"3","2"
1864,445,"CCG","PIN 1BOW.27.101",5547,12644,"EU","08","1",11.6,39.4,"Domestic","Glass","Glass Vessel","Curved Glass","clear curved glass",NA,NA,1,0.454858826147342,"3","3"
1864,445,"CELL","PIN 1BOW.27.101",5539,12644,"EU","08","1",11.6,39.4,"Other","Other","Plastic","Plastic","Cellophane",1913,1960,1,0.707106781186547,"3","3"
1864,445,"OBR","PIN 1BOW.27.101",5532,12644,"EU","08","1",11.6,39.4,"Architectural","Ceramics","Brick","Brick","unidentified brick",NA,NA,1,0.122014083023493,"3","2"
1864,445,"STY","PIN 1BOW.27.101",5540,12644,"EU","08","1",11.6,39.4,"Domestic","Other","Plastic","Plastic","Styrofoam",1954,1970,3,0.968245836551854,"3","1"
1864,445,"UCN","PIN 1BOW.27.101",5545,12644,"EU","08","1",11.6,39.4,"Architectural","Metal","Architectural Hardware","Cut Nail","unidentified cut nail",1790,1880,1,0.255550625999976,"3","2"
1864,445,"AFG","PIN 1BOW.27.101",5549,12644,"EU","08","1",11.6,39.4,"Architectural","Glass","Flat Glass","Flat Glass","aqua flat glass",NA,NA,6,1.36076252195169,"3","2"
1854,442,"MCN","PIN 1BOW.27.101",4507,12644,"EU","05","1",17.2,40.4,"Architectural","Metal","Architectural Hardware","Cut Nail","machine cut nail",1835,1880,4,0.30510802855859,"3","2"
1854,442,"CTG","PIN 1BOW.27.101",4494,12644,"EU","05","1",17.2,40.4,"Domestic","Glass","Glass Vessel","Tableware","clear table glass",NA,NA,1,0.707106781186547,"3","4"
