"P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","LEVEL_ID","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","CODE","IDENTIFY","BEGDATE","ENDDATE","N"
"1BOW.27.101",2018,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Metal","Architectural Hardware","Other Hardware","SCR","screw",,,2
"1BOW.27.101",1810,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Architectural","Metal","Architectural Hardware","Other Hardware","TACK","tack",,,1
"1BOW.27.101",2019,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Metal","Architectural Hardware","Other Hardware","TACK","tack",,,1
"1BOW.27.101",2011,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Metal","Architectural Hardware","Other Hardware","WAS","washer",,,2
"1BOW.27.101",1792,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Metal","Domestic/Activity","Cans","CF","can frag",,,1
"1BOW.27.101",1791,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Metal","Domestic/Activity","Cans","CF","can frag",,,1
"1BOW.27.101",1793,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Metal","Domestic/Activity","Cans","OPOP","aluminum can pull tab",,,1
"1BOW.27.101",2013,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Metal","Domestic/Activity","Tools","AXE","axe head (metal)",,,1
"1BOW.27.101",2010,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Metal","Domestic/Activity","Tools","STOL","small tool",,,1
"1BOW.27.101",2015,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Metal","Domestic/Activity","Other Domestic/Activity Metal","ODMT","other domestic/activity-related metal object",,,1
"1BOW.27.101",4454,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Domestic","Ceramics","Sherd","Ironstone","XII","undecorated ironstone","1813","1885",41
"1BOW.27.101",2004,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","UTI","blue transfer-printed ironstone/whiteware","1830","1865",2
"1BOW.27.101",2009,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","XI","undecorated ironstone/whiteware","1820","1900+",20
"1BOW.27.101",1794,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","XI","undecorated ironstone/whiteware","1820","1900+",5
"1BOW.27.101",2008,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Ceramics","Sherd","Semi-Vitreous China","XSV","undecorated semi-vitreous china","ca. 1880",,3
"1BOW.27.101",1795,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Ceramics","Sherd","Semi-Vitreous China","XSV","undecorated semi-vitreous china","ca. 1880",,2
"1BOW.27.101",2006,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Ceramics","Sherd","Stoneware","OBS","buff salt-glazed stoneware, brown slip","1820","1900",1
"1BOW.27.101",1796,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Ceramics","Sherd","Stoneware","OTSW","other stoneware",,,1
"1BOW.27.101",2007,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Ceramics","Sherd","Stoneware","OTSW","other stoneware",,,1
"1BOW.27.101",2005,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Ceramics","Sherd","Yellowware","XY","undecorated yellowware","1830","1940",1
"1BOW.27.101",4444,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Architectural","Ceramics","Brick","Brick","OBR","unidentified brick",,,3
"1BOW.27.101",1997,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Ceramics","Brick","Brick","OBR","unidentified brick",,,2
"1BOW.27.101",4445,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Architectural","Ceramics","Brick","Mortar/Plaster","OMO","mortar",,,1
"1BOW.27.101",4451,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Architectural","Glass","Flat Glass","Flat Glass","AFG","aqua flat glass",,,3
"1BOW.27.101",1986,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Glass","Flat Glass","Flat Glass","AFG","aqua flat glass",,,8
"1BOW.27.101",1798,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Architectural","Glass","Flat Glass","Flat Glass","AFG","aqua flat glass",,,1
"1BOW.27.101",4452,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Architectural","Glass","Flat Glass","Flat Glass","CFG","clear flat glass",,,1
"1BOW.27.101",1989,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Glass","Flat Glass","Flat Glass","CFG","clear flat glass",,,10
"1BOW.27.101",1977,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Object","Button","GB","glass button",,,2
