"CODE","MATERIAL","MATNAME","ARTIFACT","TYPENAME","CATEGORY","CATNAME","SUBCAT","IDENTIFY","BEGDATE","ENDDATE"
"MXLT",7,"Metal",6,"Domestic/Activity",20,"Lighting",98,"metal lighting object with other material attached",NA,NA
"MXMB",7,"Metal",2,"Personal Item",1,"Bead",98,"metal bead with other material attached",NA,NA
"MXMC",8,"Ceramics",6,"Architectural Ceramic",5,"Miscellaneous Ceramic",98,"architectural ceramics with other material attached",NA,NA
"MXMD",7,"Metal",2,"Personal Item",5,"Medal",98,"medal with other material attached",NA,NA
"MXME",7,"Metal",4,"Projectile Point",99,"Other Projectile Point",98,"metal projectile point with other material attached",NA,NA
"MXMF",11,"Mineral/Other",4,"Other Mineral",5,"Mica",98,"mica with other material attached",NA,NA
"MXMI",7,"Metal",2,"Personal Item",6,"Musical Instrument",98,"metal musical instrument with other material attached",NA,NA
"MXMO",6,"Botanical",1,"Manufactured Object",99,"Other Manufactured Object",98,"manufactured botanical object with other material attached",NA,NA
"MXMP",7,"Metal",2,"Personal Item",8,"Pipe",98,"metal pipe with other material attached",NA,NA
"MXMR",9,"Glass",6,"Other Glass",6,"Mirror",98,"mirror glass with other material attached",NA,NA
"MXMT",7,"Metal",6,"Domestic/Activity",99,"Other Domestic/Activity Metal",98,"domestic/activity-related metal object with other material attached",NA,NA
"MXN",7,"Metal",3,"Architectural Hardware",4,"Other Nail",97,"nail with other material attached",NA,NA
"MXNT",8,"Ceramics",3,"Non-Tableware Ceramic",99,"Other Non-Tableware Ceramic",98,"non-tableware ceramic with other material attached",NA,NA
"MXO",13,"Other",6,"Other Organic",99,"Other Organic",98,"other organic with other material attached",NA,NA
"MXOA",9,"Glass",6,"Other Glass",8,"Architectural",98,"architectural glass with other material attached",NA,NA
"MXOG",9,"Glass",6,"Other Glass",99,"Other Glass",98,"other glass with other material attached",NA,NA
"MXOL",13,"Other",3,"Leather",99,"Other Leather",98,"other leather with other material attached",NA,NA
"MXON",7,"Metal",2,"Personal Item",7,"Ornament",98,"metal ornament with other material attached",NA,NA
"MXOP",2,"Prehistoric Pottery",6,"Other Prehistoric Pottery",99,"Other Prehistoric Ceramic",98,"prehistoric ceramic with other material attached",NA,NA
"MXOR",2,"Prehistoric Pottery",5,"Ornament",5,"Ornament",98,"prehistoric ceramic ornament with other material attached",NA,NA
"MXOT",1,"Chipped Stone",2,"Other Tool",99,"Other Tool",98,"chipped stone tool with other material attached",NA,NA
"MXPA",7,"Metal",6,"Domestic/Activity",22,"Pail/Bucket",98,"pail/bucket with other material attached",NA,NA
"MXPB",7,"Metal",3,"Architectural Hardware",6,"Plumbing",98,"plumbing-related hardware with other material attached",NA,NA
"MXPE",7,"Metal",2,"Personal Item",99,"Other Metal Personal Item",98,"other metal personal item with other material attached",NA,NA
"MXPI",2,"Prehistoric Pottery",4,"Pipe",4,"Pipe",98,"prehistoric pipe with other material attached",NA,NA
"MXPM",3,"Ground or Rough Stone",3,"Personal Item",99,"Other Personal Item",98,"stone personal item with other material attached",NA,NA
"MXPN",7,"Metal",6,"Domestic/Activity",8,"Clothespins",98,"clothespin spring with other material attached",NA,NA
"MXPP",3,"Ground or Rough Stone",6,"Projectile Point",99,"Other Projectile Point",98,"ground/rough stone projectile point with other material attached",NA,NA
"MXPT",1,"Chipped Stone",1,"Projectile Point",99,"Other Projectile Point",98,"projectile point with other material attached",NA,NA
"MXRD",8,"Ceramics",6,"Architectural Ceramic",3,"Redware",98,"architectural redware with other material attached",NA,NA
"MXRM",2,"Prehistoric Pottery",2,"Rim Sherd",2,"Rim Sherd",98,"rim sherd, prehistoric pottery vessel with other material attached",NA,NA
"MXRT",3,"Ground or Rough Stone",1,"Rough Tool",99,"Other Rough Tool",98,"rough stone tool with other material attached",NA,NA
"MXSH",13,"Other",3,"Leather",2,"Footwear",98,"leather shoe or boot frag with other material attached",NA,NA
"MXSP",3,"Ground or Rough Stone",4,"Stone Pipe",99,"Other Stone Pipe",98,"stone pipe with other material attached",NA,NA
"MXSS",3,"Ground or Rough Stone",5,"All Steatite/Soapstone",99,"Other Steatite/Soapstone",98,"steatite/soapstone with other material attached",NA,NA
"MXST",3,"Ground or Rough Stone",99,"Other Modified Stone",99,"Other Modified Stone",98,"modified stone with other material attached",NA,NA
"MXSV",7,"Metal",6,"Domestic/Activity",24,"Stove/Furnaces",98,"cast iron stove or furnace with other material attached",NA,NA
"MXTL",7,"Metal",6,"Domestic/Activity",26,"Tools",98,"metal tool with other material attached",NA,NA
"MXTO",5,"Shell",2,"Tool",99,"Other Shell Tool",98,"worked shell tool with other material attached",NA,NA
"MXTY",7,"Metal",6,"Domestic/Activity",27,"Toys",98,"metal toy with other material attached",NA,NA
"MXUM",7,"Metal",1,"Unidentified",99,"Other Metal",98,"metal with other material attached",NA,NA
"MXVS",2,"Prehistoric Pottery",1,"Whole Vessel",1,"Whole Vessel",98,"whole prehistoric pottery vessel with other material attached",NA,NA
"MXWA",7,"Metal",2,"Personal Item",9,"Watch",98,"metal watch part with other material attached",NA,NA
"MXWM",5,"Shell",4,"Wampum",99,"Other Wampum",98,"wampum with other material attached",NA,NA
"MXWN",7,"Metal",3,"Architectural Hardware",3,"Wire Nail",98,"wire nail with other material attached",NA,NA
"MXWO",6,"Botanical",4,"Worked",98,"Other Worked Botanical",98,"worked botanical object with other material attached",NA,NA
