"CODE","MATERIAL","MATNAME","ARTIFACT","TYPENAME","CATEGORY","CATNAME","SUBCAT","IDENTIFY","BEGDATE","ENDDATE"
"OTSW",8,"Ceramics",2,"Sherd",12,"Stoneware",99,"other stoneware",NA,NA
"OTTG",9,"Glass",4,"Glass Vessel",1,"Tableware",99,"other table glass",NA,NA
"OTTL",1,"Chipped Stone",2,"Other Tool",99,"Other Tool",99,"other chipped stone tool",NA,NA
"OTW",8,"Ceramics",2,"Sherd",14,"Transitional Whiteware",99,"other transitional whiteware",1820,1850
"OTWE",8,"Ceramics",2,"Sherd",15,"White Earthenware",99,"other white earthenware",NA,NA
"OTWN",7,"Metal",3,"Architectural Hardware",3,"Wire Nail",99,"other wire nail",NA,NA
"OTYW",8,"Ceramics",2,"Sherd",17,"Yellowware",99,"other yellowware",1830,1940
"OTZ",8,"Ceramics",2,"Sherd",6,"Porcelain",99,"other porcelain",NA,NA
"OUS",8,"Ceramics",2,"Sherd",12,"Stoneware",30,"grey salt-glazed blue decorated stoneware, brown slip",NA,NA
"OWBN",4,"Bone/Antler",2,"Tool",99,"Other Worked Tool",99,"other worked bone/antler tool",NA,NA
"OWE",8,"Ceramics",2,"Sherd",15,"White Earthenware",5,"other transfer-printed unidentified white earthenware",NA,NA
"OWN",7,"Metal",3,"Architectural Hardware",1,"Wrought Nail",99,"other wrought nail",1750,1820
"OWOO",6,"Botanical",4,"Worked",97,"Other worked wood",0,"other worked wood",NA,NA
"OWS",8,"Ceramics",2,"Sherd",12,"Stoneware",47,"white salt-glazed stoneware, scratch brown",1720,1730
"OWSH",5,"Shell",3,"Worked",99,"Other Worked Shell",99,"other worked shell",NA,NA
"OXSH",7,"Metal",6,"Domestic/Activity",16,"Horse/Ox/Mule Equipment",4,"ox shoe",NA,NA
"OYS",5,"Shell",1,"Refuse/Unmodified",5,"Oyster Shell",0,"oyster shell",NA,NA
"PAIL",7,"Metal",6,"Domestic/Activity",22,"Pail/Bucket",1,"pail/bucket",NA,NA
"PAIN",13,"Other",1,"Debris",6,"Paint",0,"paint sample",NA,NA
"PAPR",13,"Other",1,"Debris",7,"Paper",0,"paper",NA,NA
"PB",13,"Other",4,"Plastic",8,"Plastic",16,"plastic button",NA,NA
"PBED",13,"Other",4,"Plastic",8,"Plastic",13,"plastic bead",NA,NA
"PBK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",14,"undecorated Kaolin pipe bowl/stem frag, 4/64 in. bore",NA,NA
"PBOD",2,"Prehistoric Pottery",3,"Body Sherd",3,"Body Sherd",0,"body sherd, prehistoric pottery vessel",NA,NA
"PBOT",13,"Other",4,"Plastic",8,"Plastic",14,"plastic bottle/jar",NA,NA
"PCAP",13,"Other",4,"Plastic",8,"Plastic",15,"plastic bottle/jar cap",NA,NA
"PCAR",13,"Other",4,"Plastic",8,"Plastic",11,"plastic automobile light cover",NA,NA
"PCG",9,"Glass",4,"Glass Vessel",2,"Curved Glass",13,"pink curved glass",NA,NA
"PCL",6,"Botanical",4,"Worked",5,"Pencil",0,"pencil parts (wood)",NA,NA
"PCUP",13,"Other",4,"Plastic",8,"Plastic",18,"plastic cup",NA,NA
"PCUT",13,"Other",4,"Plastic",8,"Plastic",19,"plastic cutlery",NA,NA
"PDF",8,"Ceramics",2,"Sherd",13,"Tin-Glazed Ware",3,"polychrome delftware",NA,NA
"PDOL",13,"Other",4,"Plastic",8,"Plastic",20,"plastic doll part",NA,NA
"PEG",6,"Botanical",3,"Architectural",1,"Peg",0,"peg",NA,NA
"PELC",8,"Ceramics",6,"Architectural Ceramic",1,"Porcelain",1,"porcelain electrical object",NA,NA
"PELT",13,"Other",6,"Other Organic",2,"Animal Pelt",0,"animal pelt",NA,NA
"PEN",7,"Metal",6,"Domestic/Activity",23,"Pens/Pencils",1,"pen (metal)",NA,NA
"PEND",7,"Metal",2,"Personal Item",4,"Jewelry",5,"pendant",NA,NA
"PEST",3,"Ground or Rough Stone",1,"Rough Tool",8,"Pestle",0,"pestle",NA,NA
"PEYE",7,"Metal",2,"Personal Item",2,"Clothing Related",2,"eyelet/grommet clothing fastener",NA,NA
"PFB",8,"Ceramics",2,"Sherd",12,"Stoneware",21,"fine brown stoneware, color-slipped",NA,NA
"PFI",8,"Ceramics",2,"Sherd",16,"Whiteware",10,"flow purple whiteware",1835,1870
"PFIT",7,"Metal",3,"Architectural Hardware",6,"Plumbing",2,"pipe fitting",NA,NA
"PFLK",1,"Chipped Stone",3,"Debitage",2,"Flake",2,"flake, primary",NA,NA
"PFR",8,"Ceramics",2,"Sherd",8,"Red Stoneware",4,"color-slipped fine red stoneware",NA,NA
"PINS",8,"Ceramics",6,"Architectural Ceramic",1,"Porcelain",3,"porcelain insulator, white",NA,NA
"PIPE",7,"Metal",3,"Architectural Hardware",6,"Plumbing",1,"metal plumbing pipe",NA,NA
"PIT",6,"Botanical",2,"Sample",5,"Fruit Pit",0,"fruit pit",NA,NA
"PLAS",13,"Other",4,"Plastic",8,"Plastic",98,"unidentified plastic",NA,NA
"PLED",11,"Mineral/Other",4,"Other Mineral",6,"Pencil Lead",0,"pencil lead ""graphite""",NA,NA
"PLID",13,"Other",4,"Plastic",8,"Plastic",6,"coffee/soda lid",NA,NA
"PLOW",7,"Metal",6,"Domestic/Activity",13,"Farm Implements",2,"metal plow frag",NA,NA
"PLUM",3,"Ground or Rough Stone",2,"Fine Tool",7,"Plummet",0,"plummet",NA,NA
"POP",7,"Metal",6,"Domestic/Activity",5,"Cans",4,"aluminum pop top",NA,NA
"PORC",8,"Ceramics",6,"Architectural Ceramic",1,"Porcelain",4,"porcelain sink/bathtub/toilet",NA,NA
"PORN",2,"Prehistoric Pottery",5,"Ornament",5,"Ornament",0,"prehistoric ceramic ornament",NA,NA
"POST",6,"Botanical",3,"Architectural",2,"Post",0,"post",NA,NA
"PPEN",13,"Other",4,"Plastic",8,"Plastic",9,"pen (plastic)",NA,NA
"PPIP",2,"Prehistoric Pottery",4,"Pipe",4,"Pipe",0,"prehistoric pipe",NA,NA
"PPNL",13,"Other",4,"Plastic",8,"Plastic",10,"mechanical pencil",NA,NA
"PPRS",13,"Other",4,"Plastic",8,"Plastic",22,"plastic personal object",NA,NA
"PPT",1,"Chipped Stone",1,"Projectile Point",1,"Whole Projectile Point",0,"whole projectile point",NA,NA
"PRIM",2,"Prehistoric Pottery",2,"Rim Sherd",2,"Rim Sherd",0,"rim sherd, prehistoric pottery vessel",NA,NA
"PRL",5,"Shell",5,"Pearl",1,"Pearl Jewelry",0,"pearl jewelry",NA,NA
"PSEA",13,"Other",4,"Plastic",8,"Plastic",26,"plastic twist top cap seal",NA,NA
"PTI",8,"Ceramics",2,"Sherd",16,"Whiteware",17,"purple transfer-printed whiteware",1825,1875
"PTIE",13,"Other",4,"Plastic",8,"Plastic",27,"plastic wrapper pull-tie opener",NA,NA
"PTLE",8,"Ceramics",6,"Architectural Ceramic",3,"Redware",4,"redware roofing tile/pan tile",NA,NA
"PTOY",13,"Other",4,"Plastic",8,"Plastic",24,"plastic toy",NA,NA
"PTST",3,"Ground or Rough Stone",1,"Rough Tool",9,"Pitted Stone",0,"pitted stone",NA,NA
"PULL",6,"Botanical",3,"Architectural",3,"Pulley",0,"pulley (wooden)",NA,NA
"PUNC",7,"Metal",7,"Metallurgy",1,"Blacksmithing",2,"punch biscuit",NA,NA
"PUTT",13,"Other",1,"Debris",10,"Putty",0,"putty",NA,NA
"PVES",2,"Prehistoric Pottery",1,"Whole Vessel",1,"Whole Vessel",0,"whole prehistoric pottery vessel",NA,NA
"PWRA",13,"Other",4,"Plastic",8,"Plastic",28,"plastic wrapper(s)",NA,NA
"PYTP",8,"Ceramics",2,"Sherd",5,"Pearlware",22,"polychrome transfer-printed pearlware",1795,1840
"PZIP",13,"Other",4,"Plastic",8,"Plastic",29,"plastic zip tie",NA,NA
"QBK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",15,"undecorated Kaolin pipe bowl/stem frag, 5/64 in. bore",NA,NA
"QUIL",4,"Bone/Antler",5,"Feather",2,"Altered Feather",2,"quill",NA,NA
"RB",13,"Other",5,"Rubber",11,"Rubber",2,"rubber button",NA,NA
"RBK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",16,"undecorated Kaolin pipe bowl/stem frag, 6/64 in. bore",NA,NA
"RBS",8,"Ceramics",2,"Sherd",12,"Stoneware",16,"buff salt-glazed stoneware, red slip",1820,1900
"RBY",8,"Ceramics",2,"Sherd",17,"Yellowware",3,"Rockingham/Bennington yellowware",1830,1940
"RCG",9,"Glass",4,"Glass Vessel",2,"Curved Glass",14,"red curved glass",NA,NA
"RCN",7,"Metal",3,"Architectural Hardware",2,"Cut Nail",1,"cut nail, wrought 'rose' head",1790,1835
"RCS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",9,"combed red slip-decorated redware",1770,1830
"RFLK",1,"Chipped Stone",3,"Debitage",2,"Flake",6,"flake, pressure",NA,NA
"RGS",8,"Ceramics",2,"Sherd",12,"Stoneware",38,"grey salt-glazed stoneware, red slip",NA,NA
"RING",7,"Metal",2,"Personal Item",4,"Jewelry",3,"ring (jewelry)",NA,NA
"RN",7,"Metal",3,"Architectural Hardware",3,"Wire Nail",4,"wire roofing nail",1875,1970
"RNG",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",20,"ring (hardware)",NA,NA
"ROCK",11,"Mineral/Other",2,"Rock/Stone",1,"Unmodified Rock/Stone",0,"unmodified rock/stone",NA,NA
"ROD",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",22,"rod",NA,NA
"ROLL",3,"Ground or Rough Stone",1,"Rough Tool",10,"Roller",0,"roller",NA,NA
"ROPE",13,"Other",2,"Fabric",4,"Rope",0,"rope",NA,NA
"ROS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",13,"red & yellow slip-trail decorated redware",1770,1830
"RRS",7,"Metal",6,"Domestic/Activity",21,"Locomotive",1,"railroad spike",NA,NA
"RS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",14,"red glazed slip-decorated redware",1770,1830
"RTI",8,"Ceramics",2,"Sherd",16,"Whiteware",18,"red transfer-printed whiteware",1825,1875
"RTS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",15,"red slip-trail decorated redware",1770,1830
"RUBB",13,"Other",5,"Rubber",11,"Rubber",0,"rubber",NA,NA
"RUS",8,"Ceramics",2,"Sherd",12,"Stoneware",32,"grey salt-glazed blue decorated stoneware, red slip",NA,NA
"RVT",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",21,"rivet",NA,NA
"RWN",7,"Metal",3,"Architectural Hardware",1,"Wrought Nail",1,"wrought nail, 'rose' head",1750,1820
"SANI",8,"Ceramics",6,"Architectural Ceramic",2,"Stoneware",2,"white 'sanitary stoneware' frag",NA,NA
"SAW",7,"Metal",6,"Domestic/Activity",26,"Tools",14,"saw",NA,NA
"SAXE",3,"Ground or Rough Stone",2,"Fine Tool",2,"Axe",0,"axe (stone)",NA,NA
"SB",5,"Shell",3,"Worked",3,"Button",0,"shell button",NA,NA
"SBEA",3,"Ground or Rough Stone",3,"Personal Item",4,"Stone Bead",0,"stone bead",NA,NA
"SBK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",18,"decorated Kaolin pipe bowl/stem frag, smaller than 4/64"" bore",NA,NA
"SBSK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",13,"undecorated Kaolin pipe bowl/stem frag, smaller than 4/64"" bore",NA,NA
"SCHO",3,"Ground or Rough Stone",2,"Fine Tool",8,"Sandstone Chopper",0,"sandstone chopper",NA,NA
"SCIS",7,"Metal",6,"Domestic/Activity",26,"Tools",15,"scissors",NA,NA
"SCL",4,"Bone/Antler",1,"Refuse/Unmodified",5,"Fish",2,"scales",NA,NA
"SCLP",7,"Metal",2,"Personal Item",2,"Clothing Related",6,"suspender clamp",NA,NA
"SCON",5,"Shell",1,"Refuse/Unmodified",2,"Conch Shell",0,"conch shell",NA,NA
"SCR",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",24,"screw",NA,NA
"SCRP",1,"Chipped Stone",2,"Other Tool",9,"Scraper",0,"scraper",NA,NA
"SCSH",5,"Shell",1,"Refuse/Unmodified",6,"Scallop Shell",0,"scallop shell",NA,NA
"SDC",8,"Ceramics",2,"Sherd",3,"Creamware",9,"sponge-decorated creamware",1762,1820
"SDI",8,"Ceramics",2,"Sherd",16,"Whiteware",24,"sponge-decorated whiteware",1830,1865
"SDP",8,"Ceramics",2,"Sherd",5,"Pearlware",16,"sponge-decorated pearlware",1780,1830
"SDR",8,"Ceramics",2,"Sherd",9,"Redware",9,"slip-decorated redware",NA,NA
"SDRV",7,"Metal",6,"Domestic/Activity",26,"Tools",16,"screwdriver",NA,NA
"SDWI",8,"Ceramics",2,"Sherd",16,"Whiteware",22,"slip-decorated whiteware",NA,NA
"SDY",8,"Ceramics",2,"Sherd",17,"Yellowware",4,"sponge-decorated yellowware",1830,1940
"SEED",6,"Botanical",2,"Sample",7,"Seed",0,"seed",NA,NA
"SEFF",5,"Shell",3,"Worked",4,"Ornament",1,"shell effigy",NA,NA
"SFB",8,"Ceramics",2,"Sherd",12,"Stoneware",24,"fine brown stoneware, sprigged",1690,1775
"SFIG",3,"Ground or Rough Stone",3,"Personal Item",6,"Stone Figurine",0,"stone figurine",NA,NA
"SFLK",1,"Chipped Stone",3,"Debitage",2,"Flake",3,"flake, secondary",NA,NA
"SFR",8,"Ceramics",2,"Sherd",8,"Red Stoneware",9,"sprigged fine red stoneware",1690,1775
"SHAT",1,"Chipped Stone",3,"Debitage",3,"Shatter",0,"shatter",NA,NA
"SHEB",5,"Shell",3,"Worked",2,"Bead",0,"shell bead",NA,NA
"SHFG",5,"Shell",3,"Worked",1,"Shell Manufacturing",2,"shell manufacturing frag",NA,NA
"SHHO",5,"Shell",2,"Tool",1,"Hoe",0,"shell hoe",NA,NA
"SHOE",13,"Other",3,"Leather",2,"Footwear",1,"leather shoe or boot frag",NA,NA
"SHOR",5,"Shell",3,"Worked",4,"Ornament",0,"shell ornament",NA,NA
"SHOT",7,"Metal",5,"Arms/Military",1,"Guns/Bullets",9,"shot",NA,NA
"SHST",5,"Shell",3,"Worked",1,"Shell Manufacturing",1,"shell strip",NA,NA
"SHT",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",18,"metal sheeting/sheathing",NA,NA
"SIDS",1,"Chipped Stone",2,"Other Tool",10,"Side Scraper",0,"side scraper",NA,NA
"SINS",3,"Ground or Rough Stone",1,"Rough Tool",11,"Sinewstone",0,"sinewstone",NA,NA
"SLAT",3,"Ground or Rough Stone",7,"Architectural Stone",3,"Slate Roofing",0,"slate roofing frag",NA,NA
"slip",5,"Shell",1,"Refuse/Unmodified",7,"Slipper Shell",0,"slipper  shell",NA,NA
"SNAL",5,"Shell",1,"Refuse/Unmodified",8,"Snail Shell",0,"snail shell",NA,NA
"SNAP",7,"Metal",2,"Personal Item",2,"Clothing Related",5,"snap-type clothing fastener",NA,NA
"SNW",13,"Other",6,"Other Organic",4,"Sinew",0,"sinew frag",NA,NA
"SOIL",10,"Soil",1,"Soil",1,"Soil",0,"soil sample",NA,NA
"SORN",3,"Ground or Rough Stone",3,"Personal Item",7,"Stone Ornament",0,"stone ornament",NA,NA
"SPCL",3,"Ground or Rough Stone",98,"Other Worked Stone",1,"Slate",1,"slate pencil",NA,NA
"SPCN",7,"Metal",3,"Architectural Hardware",2,"Cut Nail",7,"cut spike",1790,1880
"SPIG",7,"Metal",3,"Architectural Hardware",6,"Plumbing",3,"spigot",NA,NA
"SPIP",3,"Ground or Rough Stone",4,"Stone Pipe",1,"Stone Pipe",0,"stone pipe",NA,NA
"SPK",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",25,"spike",NA,NA
"SPOL",3,"Ground or Rough Stone",2,"Fine Tool",10,"Spool",0,"spool",NA,NA
"SPOO",7,"Metal",6,"Domestic/Activity",11,"Cutlery",3,"spoon",NA,NA
"SPPT",3,"Ground or Rough Stone",6,"Projectile Point",1,"Projectile Point",0,"ground/rough stone projectile point",NA,NA
"SPRG",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",26,"spring",NA,NA
"SPRK",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",27,"sprockets",NA,NA
"SPRL",5,"Shell",5,"Pearl",3,"Pearl Button",0,"pearl button",NA,NA
"SPSH",1,"Chipped Stone",2,"Other Tool",11,"Spokeshave",0,"spokeshave",NA,NA
"SPZ",8,"Ceramics",2,"Sherd",6,"Porcelain",10,"soft-paste porcelain",1840,1895
"SQTU",7,"Metal",6,"Domestic/Activity",9,"Containers",1,"squeeze tube",NA,NA
"SSBR",1,"Chipped Stone",2,"Other Tool",10,"Side Scraper",1,"side scraper biface retouched",NA,NA
"SSC",5,"Shell",1,"Refuse/Unmodified",9,"Soft Shell Clam Shell",0,"soft shell clam shell",NA,NA
"SSCR",5,"Shell",2,"Tool",2,"Scraper",0,"shell scraper",NA,NA
"SSK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",3,"Kaolin pipe stem frag. smaller than 4/64"" bore",NA,NA
"SSP",8,"Ceramics",6,"Architectural Ceramic",2,"Stoneware",1,"stoneware sewer pipe frag",NA,NA
"SSPN",5,"Shell",2,"Tool",3,"Spoon",0,"shell spoon",NA,NA
"SSUR",1,"Chipped Stone",2,"Other Tool",10,"Side Scraper",2,"side scraper uniface retouched",NA,NA
"STAF",8,"Ceramics",2,"Sherd",12,"Stoneware",42,"Staffordshire Brown English stoneware",1700,1800
"STAP",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",28,"staple",NA,NA
"STC",8,"Ceramics",2,"Sherd",3,"Creamware",10,"stamped creamware",1762,1820
"STDI",8,"Ceramics",2,"Sherd",16,"Whiteware",25,"stamped-sponge decorated whiteware",1840,1920
"STES",3,"Ground or Rough Stone",5,"All Steatite/Soapstone",2,"Vessel Sherd",0,"steatite/soapstone vessel sherd",NA,NA
"STEV",3,"Ground or Rough Stone",5,"All Steatite/Soapstone",1,"Whole Vessel",0,"whole steatite/soapstone vessel",NA,NA
"STKA",1,"Chipped Stone",2,"Other Tool",8,"Knife",1,"stone knife, asymmetrical",NA,NA
"STKK",7,"Metal",6,"Domestic/Activity",11,"Cutlery",4,"steak knife",NA,NA
"STKN",1,"Chipped Stone",2,"Other Tool",8,"Knife",0,"stone knife",NA,NA
"STMB",8,"Ceramics",3,"Non-Tableware Ceramic",11,"Stoneware Marble",0,"stoneware marble",NA,NA
"STOK",7,"Metal",7,"Metallurgy",1,"Blacksmithing",3,"stock metal fragment",NA,NA
"STOL",7,"Metal",6,"Domestic/Activity",26,"Tools",17,"small tool",NA,NA
"STOV",7,"Metal",6,"Domestic/Activity",24,"Stove/Furnaces",1,"cast iron stove or furnace",NA,NA
"STP",8,"Ceramics",2,"Sherd",5,"Pearlware",17,"stamped pearlware",1780,1830
"STPL",4,"Bone/Antler",1,"Refuse/Unmodified",5,"Fish",3,"sturgeon plate",NA,NA
"STRP",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",29,"strapping",NA,NA
"STRW",13,"Other",4,"Plastic",8,"Plastic",23,"plastic straw",NA,NA
"STTW",13,"Other",2,"Fabric",5,"String/Twine",0,"string/twine",NA,NA
"STY",13,"Other",4,"Plastic",8,"Plastic",30,"Styrofoam",1954,1970
"SWN",7,"Metal",3,"Architectural Hardware",3,"Wire Nail",5,"square wire nail",NA,NA
"SWOR",7,"Metal",5,"Arms/Military",2,"Swords",1,"sword",NA,NA
"TACK",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",30,"tack",NA,NA
"TAG",7,"Metal",6,"Domestic/Activity",25,"Tags",1,"tag",NA,NA
"TAPE",13,"Other",4,"Plastic",9,"Tape",1,"masking tape",1925,NA
"TAR",13,"Other",1,"Debris",12,"Tar",0,"tar",NA,NA
"TARP",13,"Other",1,"Debris",12,"Tar",1,"tarpaper",NA,NA
"TBS",8,"Ceramics",2,"Sherd",12,"Stoneware",17,"buff salt-glazed stoneware, tan slip",NA,NA
"TCN",7,"Metal",3,"Architectural Hardware",2,"Cut Nail",3,"cut nail, wrought 'T' head",1790,1835
"TEXT",6,"Botanical",1,"Manufactured Object",4,"Textile",0,"textile",NA,NA
"TFLK",1,"Chipped Stone",3,"Debitage",2,"Flake",4,"flake, tertiary",NA,NA
"TGS",8,"Ceramics",2,"Sherd",12,"Stoneware",39,"grey salt-glazed stoneware, tan slip",NA,NA
"THIM",7,"Metal",6,"Domestic/Activity",26,"Tools",18,"thimble",NA,NA
"TILE",8,"Ceramics",6,"Architectural Ceramic",4,"Tile",1,"ceramic tile",NA,NA
"TLLT",9,"Glass",6,"Other Glass",5,"Automotive Glass",3,"red automotive taillight cover",NA,NA
"TOBA",6,"Botanical",2,"Sample",8,"Tobacco",0,"tobacco",NA,NA
"TOKE",7,"Metal",2,"Personal Item",3,"Coin",2,"token",NA,NA
"TOOL",7,"Metal",6,"Domestic/Activity",26,"Tools",8,"large-handled tool part",NA,NA
"TOOT",4,"Bone/Antler",1,"Refuse/Unmodified",7,"Tooth/Tusk",1,"tooth",NA,NA
"TORT",4,"Bone/Antler",1,"Refuse/Unmodified",8,"Tortoise",0,"tortoise shell",NA,NA
"TOYZ",8,"Ceramics",2,"Sherd",6,"Porcelain",9,"porcelain toy dish",NA,NA
"TRAS",13,"Other",1,"Debris",5,"Modern Trash",0,"modern trash, not collected",NA,NA
"TRIM",7,"Metal",7,"Metallurgy",1,"Blacksmithing",4,"trimmings/scrap",NA,NA
"TRNG",7,"Metal",6,"Domestic/Activity",6,"Cap/Lid",4,"twist top bottle cap ring",NA,NA
"TSC",8,"Ceramics",2,"Sherd",3,"Creamware",11,"tortoise-shell creamware",1740,1780
"TSV",8,"Ceramics",2,"Sherd",10,"Semi-Vitreous China",4,"transfer-printed semi-vitreous china",1880,NA
"TTEA",8,"Ceramics",3,"Non-Tableware Ceramic",8,"Toys",0,"children's tea set pieces",NA,NA
"TUBE",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",31,"tubing",NA,NA
"TURT",4,"Bone/Antler",1,"Refuse/Unmodified",8,"Turtle",0,"turtle shell",NA,NA
"TUSK",4,"Bone/Antler",1,"Refuse/Unmodified",7,"Tooth/Tusk",2,"tusk",NA,NA
"TWIS",13,"Other",4,"Plastic",8,"Plastic",25,"plastic twist top cap",NA,NA
"TWN",7,"Metal",3,"Architectural Hardware",1,"Wrought Nail",3,"wrought nail, 'T' head",1750,1820
"TWS",8,"Ceramics",2,"Sherd",12,"Stoneware",49,"white stoneware, transfer-printed",1755,1765
"TWST",7,"Metal",6,"Domestic/Activity",6,"Cap/Lid",3,"twist top bottle cap",NA,NA
"UB",4,"Bone/Antler",1,"Refuse/Unmodified",3,"Bone",1,"unmodified bone",NA,NA
"UBP",8,"Ceramics",2,"Sherd",5,"Pearlware",18,"underglaze blue hand-painted pearlware",1780,1830
"UBZ",8,"Ceramics",2,"Sherd",6,"Porcelain",12,"underglaze blue Chinese porcelain",1660,1800
"UCN",7,"Metal",3,"Architectural Hardware",2,"Cut Nail",97,"unidentified cut nail",1790,1880
"UCUT",7,"Metal",6,"Domestic/Activity",11,"Cutlery",96,"unidentified cutlery",NA,NA
"UDB",4,"Bone/Antler",1,"Refuse/Unmodified",3,"Bone",3,"unidentified bone frag",NA,NA
"UDLR",13,"Other",3,"Leather",99,"Other Leather",97,"unidentified leather",NA,NA
"UDM",7,"Metal",1,"Unidentified",97,"Unidentified",97,"unidentified metal",NA,NA
"UDSK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",99,"unidentified Kaolin pipe stem frag",NA,NA
"UDSW",8,"Ceramics",2,"Sherd",12,"Stoneware",97,"unidentified stoneware",NA,NA
"UDUD",14,"Unidentified",0,"Unidentified",0,"Unidentified",0,"unidentified material",NA,NA
"UDZ",8,"Ceramics",2,"Sherd",6,"Porcelain",97,"unidentified porcelain",NA,NA
"UFB",8,"Ceramics",2,"Sherd",12,"Stoneware",26,"fine brown stoneware, unidentified",1690,1775
"UFI",8,"Ceramics",2,"Sherd",16,"Whiteware",7,"flow blue whiteware",1835,1870
"UFP",8,"Ceramics",2,"Sherd",5,"Pearlware",11,"flow blue pearlware",1795,1840
"UFR",8,"Ceramics",2,"Sherd",8,"Red Stoneware",10,"unidentified fine red stoneware",NA,NA
"UGB",8,"Ceramics",2,"Sherd",12,"Stoneware",8,"buff bodied stoneware, molded w/blue glaze",NA,NA
"UIC",7,"Metal",1,"Unidentified",3,"Cuprous",0,"unidentified cuprous metal",NA,NA
"UIS",7,"Metal",1,"Unidentified",4,"Ferrous",0,"unidentified iron/steel",NA,NA
"ULU",3,"Ground or Rough Stone",2,"Fine Tool",11,"Ulu",0,"ulu",NA,NA
"UN",7,"Metal",3,"Architectural Hardware",4,"Other Nail",98,"unidentified nail",NA,NA
"UNB",8,"Ceramics",2,"Sherd",2,"Buff Earthenware",8,"unidentified buff earthenware",NA,NA
"UNBN",4,"Bone/Antler",2,"Tool",8,"Unidentified Tool",0,"unidentified worked bone/antler tool",NA,NA
"UNI",8,"Ceramics",2,"Sherd",16,"Whiteware",97,"unidentified whiteware",1820,1900
"UNIF",1,"Chipped Stone",2,"Other Tool",12,"Uniface",0,"uniface",NA,NA
"UNR",8,"Ceramics",2,"Sherd",9,"Redware",97,"unidentified redware",NA,NA
"UNS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",97,"unidentified slip-decorated redware",1770,1830
"UNW",8,"Ceramics",2,"Sherd",15,"White Earthenware",97,"unidentified white earthenware",NA,NA
"UNZ",8,"Ceramics",2,"Sherd",6,"Porcelain",1,"undecorated porcelain",NA,NA
"UPOB",2,"Prehistoric Pottery",3,"Body Sherd",3,"Body Sherd",2,"undecorated body sherd, prehistoric pottery vessel",NA,NA
"UPP",8,"Ceramics",2,"Sherd",5,"Pearlware",19,"underglaze polychrome hand-painted pearlware",1780,1840
"URIM",2,"Prehistoric Pottery",2,"Rim Sherd",2,"Rim Sherd",2,"undecorated rim sherd, prehistoric pottery vessel",NA,NA
"URN",7,"Metal",3,"Architectural Hardware",3,"Wire Nail",97,"unidentified wire nail",1875,1970
"US",5,"Shell",1,"Refuse/Unmodified",97,"Unidentified Shell",97,"unidentified shell",NA,NA
"USN",7,"Metal",3,"Architectural Hardware",4,"Other Nail",96,"unidentified square nail",NA,NA
"USTN",3,"Ground or Rough Stone",99,"Other Modified Stone",99,"Other Modified Stone",99,"other modified stone",NA,NA
"UTC",8,"Ceramics",2,"Sherd",3,"Creamware",4,"blue transfer-printed creamware",1765,1815
"UTF1",1,"Chipped Stone",3,"Debitage",4,"Utilized Flake",1,"utilized flake, primary",NA,NA
"UTF2",1,"Chipped Stone",3,"Debitage",4,"Utilized Flake",2,"utilized flake, secondary",NA,NA
"UTF3",1,"Chipped Stone",3,"Debitage",4,"Utilized Flake",3,"utilized flake, tertiary",NA,NA
"UTI",8,"Ceramics",2,"Sherd",16,"Whiteware",13,"blue transfer-printed whiteware",1830,1865
"UTIL",1,"Chipped Stone",3,"Debitage",4,"Utilized Flake",0,"utilized flake",NA,NA
"UTP",8,"Ceramics",2,"Sherd",5,"Pearlware",6,"blue transfer-printed pearlware",1795,1840
"UTTW",8,"Ceramics",2,"Sherd",14,"Transitional Whiteware",3,"blue transfer-print transitional whiteware",1820,1850
"UWAM",5,"Shell",4,"Wampum",1,"Wampum",3,"unfinished wampum beads (just before drilling or drilling started)",NA,NA
"UWN",7,"Metal",3,"Architectural Hardware",1,"Wrought Nail",97,"unidentified wrought nail",NA,NA
"UWS",8,"Ceramics",2,"Sherd",12,"Stoneware",46,"white salt-glazed stoneware, scratch blue",1744,1775
