"P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","LEVEL_ID","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","CODE","IDENTIFY","BEGDATE","ENDDATE","N"
"1BOW.27.101",2015,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Metal","Domestic/Activity","Other Domestic/Activity Metal","ODMT","other domestic/activity-related metal object",NA,NA,1
"1BOW.27.101",2004,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","UTI","blue transfer-printed ironstone/whiteware","1830","1865",2
"1BOW.27.101",2009,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","XI","undecorated ironstone/whiteware","1820","1900+",20
"1BOW.27.101",1794,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","XI","undecorated ironstone/whiteware","1820","1900+",5
"1BOW.27.101",2008,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Ceramics","Sherd","Semi-Vitreous China","XSV","undecorated semi-vitreous china","ca. 1880",NA,3
"1BOW.27.101",1795,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Ceramics","Sherd","Semi-Vitreous China","XSV","undecorated semi-vitreous china","ca. 1880",NA,2
"1BOW.27.101",2006,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Ceramics","Sherd","Stoneware","OBS","buff salt-glazed stoneware, brown slip","1820","1900",1
"1BOW.27.101",1796,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Ceramics","Sherd","Stoneware","OTSW","other stoneware",NA,NA,1
"1BOW.27.101",2007,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Ceramics","Sherd","Stoneware","OTSW","other stoneware",NA,NA,1
"1BOW.27.101",2005,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Ceramics","Sherd","Yellowware","XY","undecorated yellowware","1830","1940",1
"1BOW.27.101",1997,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Ceramics","Brick","Brick","OBR","unidentified brick",NA,NA,2
"1BOW.27.101",1986,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Glass","Flat Glass","Flat Glass","AFG","aqua flat glass",NA,NA,8
"1BOW.27.101",1798,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Architectural","Glass","Flat Glass","Flat Glass","AFG","aqua flat glass",NA,NA,1
"1BOW.27.101",1989,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Glass","Flat Glass","Flat Glass","CFG","clear flat glass",NA,NA,10
"1BOW.27.101",1977,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Object","Button","GB","glass button",NA,NA,2
"1BOW.27.101",1984,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Tableware","CPTG","clear table glass, pressed",NA,NA,2
"1BOW.27.101",1983,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Tableware","CTG","clear table glass",NA,NA,1
"1BOW.27.101",1985,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Curved Glass","CCG","clear curved glass",NA,NA,1
"1BOW.27.101",1800,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Glass","Glass Vessel","Curved Glass","CCG","clear curved glass",NA,NA,2
"1BOW.27.101",1981,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Curved Glass","CVCG","clear curved glass with amethyst tint due to sun exposure","1880s","late 1910s",1
"1BOW.27.101",1988,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Bottle Glass","ABG","aqua bottle glass",NA,NA,2
"1BOW.27.101",1797,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Glass","Glass Vessel","Bottle Glass","CBG","clear bottle glass",NA,NA,1
"1BOW.27.101",1982,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Bottle Glass","CBG","clear bottle glass",NA,NA,4
"1BOW.27.101",1987,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Bottle Glass","GBG","green bottle glass",NA,NA,1
"1BOW.27.101",1799,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Glass","Glass Vessel","Bottle Glass","MBG","brown bottle glass",NA,NA,1
"1BOW.27.101",1978,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Bottle Glass","MBG","brown bottle glass",NA,NA,3
"1BOW.27.101",1979,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Bottle Glass","NBG","amber bottle glass",NA,NA,1
"1BOW.27.101",1980,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Glass","Glass Vessel","Bottle Glass","OBG","olive-green bottle glass",NA,NA,3
"1BOW.27.101",1991,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Other","Mineral/Other","Other Mineral","Fossil","FOSS","fossil",NA,NA,1
"1BOW.27.101",1806,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Other","Debris","Coal","OCI","cinder",NA,NA,22
"1BOW.27.101",1998,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Other","Debris","Coal","OCI","cinder",NA,NA,12
